Comprador,Vendedor,Producto,UnidadesVendidas,VentasEn$,Fecha
Mexico,China,Pimiento,52668,98451.57,21-03-2018
Rusia,China,Cebolla,90453,57850.13,9-01-2020
Francia,Italia,Cebolla,10420,8870.25,9-07-2020
Colombia,Rusia,Espinaca,106344,15651.7,2-02-2021
Francia,Peru,Aceituna,81794,78082.16,22-04-2021
China,Colombia,Aceituna,40884,25393.73,25-04-2019
Francia,Colombia,Culantro,89509,80027.4,12-11-2018
Rusia,China,Col,31137,49545.72,14-10-2019
Colombia,Rusia,Cebolla,6430,1674.57,16-04-2021
Peru,Estados Unidos,Cebolla,6288,6824.4,18-12-2020
Francia,Mexico,Cebolla,29769,4970.33,28-09-2019
Ecuador,Alemania,Espinaca,64831,44393.14,16-04-2019
Mexico,Alemania,Pimiento,29032,14105.47,23-01-2020
Rusia,Francia,Cebolla,108252,135892.74,14-04-2019
Ecuador,Mexico,Culantro,72171,10288.6,24-07-2018
Alemania,Francia,Culantro,29313,34796.51,23-12-2019
Mexico,Peru,Col,19084,18639.23,3-11-2019
Italia,Rusia,Aceituna,80553,40556.92,16-09-2018
Colombia,Francia,Papa,99839,21976.72,2-01-2018
Peru,Rusia,Aceituna,47950,89412.94,12-08-2020
Rusia,Mexico,Cebolla,40752,20628.34,22-05-2018
Ecuador,Italia,Col,96919,188290.94,6-05-2020
Estados Unidos,Ecuador,Aceituna,67670,133016.15,12-05-2021
Alemania,Ecuador,Col,30634,45261.72,21-11-2021
Colombia,Peru,Aceituna,38392,5072.33,3-04-2019
Ecuador,Colombia,Culantro,116532,183740.53,20-05-2021
Rusia,Mexico,Espinaca,32015,52395.58,21-02-2020
Peru,Mexico,Espinaca,70590,117406.73,3-12-2020
Rusia,Alemania,Apio,30201,47587.63,17-07-2018
Ecuador,Alemania,Cebolla,86009,91636.42,22-05-2019
Ecuador,Alemania,Papa,57128,6659.31,12-10-2018
Rusia,Peru,Aceituna,46386,86105.31,1-02-2020
Mexico,China,Espinaca,84261,164760.76,12-04-2018
Mexico,Estados Unidos,Champiñón,42570,44656.15,12-07-2021
Ecuador,Colombia,Col,100820,1980.03,26-06-2018
Mexico,China,Col,105214,69105.26,5-10-2021
China,Italia,Culantro,31911,24629.02,6-07-2021
China,Colombia,Culantro,115659,177945.3,9-04-2019
Peru,Italia,Col,114819,149058.97,21-01-2018
Alemania,Estados Unidos,Aceituna,33759,40094.65,1-12-2018
Rusia,Italia,Champiñón,67684,101495.82,18-10-2018
Italia,Ecuador,Pimiento,54823,6196.24,12-09-2021
Francia,Colombia,Aceituna,45499,79372.02,15-02-2018
Estados Unidos,Colombia,Espinaca,12449,4526.84,28-11-2020
Mexico,Peru,Espinaca,53674,3932.63,18-11-2019
Peru,Ecuador,Col,116490,60978.16,20-10-2019
Estados Unidos,Colombia,Apio,90400,148351.47,11-10-2019
Ecuador,China,Espinaca,39496,64756.83,27-12-2021
