Comprador,Vendedor,Producto,UnidadesVendidas,VentasEn$,Fecha
Rusia,Peru,Pino,46629,84052.13,28-03-2018
Italia,Colombia,Arce,86874,155884.0,25-06-2018
Italia,China,Fresno,111298,172512.99,2-05-2021
Estados Unidos,Rusia,Haya,62684,74764.64,4-10-2018
Mexico,Alemania,Caoba,35449,41952.89,5-01-2020
China,Rusia,Haya,68874,113649.15,21-11-2019
China,Francia,Caoba,75254,133219.54,28-07-2021
Colombia,Rusia,Roble,66983,126166.32,13-04-2021
Alemania,Estados Unidos,Cerezo,7888,760.39,14-04-2021
China,Peru,Cerezo,43779,57699.92,15-11-2021
Estados Unidos,Mexico,Nogal,22824,29425.35,13-10-2018
Mexico,Rusia,Haya,90308,35914.01,18-01-2019
Alemania,Peru,Haya,21354,472.56,12-07-2019
Peru,Estados Unidos,Roble,32082,12946.46,27-03-2020
Alemania,Peru,Caoba,66376,125590.2,12-08-2018
Colombia,China,Cedro,105955,105428.08,9-02-2021
China,Ecuador,Cerezo,74230,51057.09,9-01-2021
Francia,Mexico,Fresno,13225,8847.02,23-09-2019
Colombia,China,Cedro,47708,14733.05,16-01-2018
Mexico,Italia,Pino,91175,59136.42,26-08-2021
Rusia,Italia,Fresno,113354,226011.04,28-11-2019
China,Alemania,Nogal,15360,28032.69,20-04-2020
